title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport
A short history of nearly everything,Bill Bryson,4.15,3800,2003,"Other, children/young adult, literature, other",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45,0,2021,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Abaddon’s Gate (The Expanse, #3)",James S.A. Corey,4.28,0,2013,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ace of Spades (Paperback),Faridah Àbíké-Íyímídé,4.13,0,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex (Hardcover)",Angela  Chen,4.34,0,2020,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Across the Universe (Across the Universe, #1)",Beth Revis,3.77,0,2011,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Act Like a Lady, Think Like a Man",Steve Harvey,4.46,117,2006,"Other, bestseller, science",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment (Hardcover)",Steve Harvey,3.77,0,2009,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Addicted to You (Addicted, #1)",Krista Ritchie,3.71,0,2013,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents (Paperback)",Lindsay C. Gibson,4.36,0,2015,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,4.12,0,2016,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After the Funeral,Agatha Christie,4.38,240,1953,"Other, fiction, literature",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"After the Funeral (Hercule Poirot, #33)",Agatha Christie,3.91,0,1953,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Again the Magic (Wallflowers, #0)",Lisa Kleypas,4.03,0,2004,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Against Technoableism: Rethinking Who Needs Improvement (Hardcover),Ashley Shew,4.29,0,2023,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ain't I a Woman: Black Women and Feminism (Paperback),bell hooks,4.51,0,1981,"activism, non-fiction, sport",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Alchemy & Mysticism (Paperback),Alexander Roob,4.25,0,1996,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alex Ferguson: My Autobiography (Hardcover),Alex Ferguson,3.94,0,2013,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex, Approximately (Hardcover)",Jenn Bennett,3.94,0,2017,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alexander Hamilton (Paperback),Ron Chernow,4.22,0,2004,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alice's Adventures in Wonderland,Lewis Carroll,4.04,23200,1865,"Other, children/young adult, fantasy, fiction, history, other",1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,4.01,11074,1889,"Other, children/young adult, fantasy, fiction, history, other, science",1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
All About Love,bell hooks,4.14,616,2000,"Other, bestseller, romance, science",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
All About Love: New Visions (Hardcover),bell hooks,4.02,0,1999,"activism, romance",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,0,1972,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
All He'll Ever Be,Willow Winters,3.5899999999999994,407,2019,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Out: The No-Longer-Secret Stories of Queer Teens throughout the Ages (Hardcover),Saundra Mitchell,,0,,literature,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
All Quiet on the Western Front (Mass Market Paperback),Erich Maria Remarque,4.11,0,1928,history,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
All Rhodes Lead Here (Kindle Edition),Mariana Zapata,4.22,0,2021,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4.12,0,2017,"fiction, science",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
All That Remains: A Life in Death (Hardcover),Sue Black,4.16,0,2018,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"All Things Bright and Beautiful (All Creatures Great and Small, #3-4)",James Herriot,4.35,0,1976,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"All Things Wise and Wonderful (All Creatures Great and Small, #5-6)",James Herriot,4.45,0,1978,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"All Your Perfects (Hopeless, #3)",Colleen Hoover,4.0,0,2018,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All by My Elf (Under the Mistletoe Collection, #3)",Olivia Dade,2.59,0,2024,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
All the Bright Places (Hardcover),Jennifer Niven,4.11,0,2015,"Other, other",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
